,0,1
0,50,92
1,50,103
2,51,114
3,52,125
4,55,136
5,62,146
6,71,154
7,82,160
8,94,163
9,105,161
10,115,154
11,122,146
12,128,137
13,131,127
14,133,117
15,134,107
16,134,96
17,61,86
18,67,80
19,76,78
20,84,78
21,92,82
22,103,82
23,110,80
24,118,80
25,125,84
26,128,90
27,97,89
28,97,97
29,97,106
30,97,114
31,87,116
32,91,118
33,96,120
34,100,119
35,104,117
36,70,90
37,75,87
38,80,88
39,84,92
40,79,92
41,74,91
42,106,93
43,111,90
44,116,90
45,120,94
46,116,94
47,111,93
48,74,127
49,82,125
50,89,125
51,95,126
52,101,125
53,107,126
54,113,129
55,107,136
56,100,140
57,94,140
58,88,139
59,81,135
60,76,127
61,89,127
62,95,128
63,100,127
64,111,129
65,101,135
66,95,135
67,89,134
